award,vote_start,vote_end,artiste,song,download_count,streaming_count,youtube_views,popularity_votes,normalized_ds,normalized_yv,normalized_pv,aggregate_score,created_at,updated_at
MCOUNTDOWN,2016-11-11,2016-11-14,B.A.P,SKYDIVE,0,0,1205272,2.8,0.00,0.18,0.37,0.54,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,D.I.P,FIZZ,0,0,48970,0.0,0.00,0.01,0.00,0.01,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,SOUL LATIDO,Your Name,0,0,15537,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,OhBliss,BUNNYBUNNY,0,0,103627,0.0,0.00,0.02,0.00,0.02,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,24K,BINGO,0,0,982183,0.1,0.00,0.15,0.01,0.16,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,KyuHyun,Blah Blah (Prod. by Yoon JongShin),25256,1195065,1355764,11.5,8.89,0.20,1.50,10.59,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,BINBLOW,Say Don't Go,0,0,20783,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Hyolyn,Paradise,0,0,1985148,0.1,0.00,0.30,0.01,0.31,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,HALO,Mariya,0,0,295598,0.0,0.00,0.04,0.00,0.04,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,The EastLight,holla,0,0,27474,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,TWICE,TT,70910,5948312,71942259,11.3,33.41,10.71,1.47,45.59,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,ToppDogg,Rainy Day,0,0,749044,0.3,0.00,0.11,0.04,0.15,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Baek ChungKang,BOMB DI BOMB,0,0,0,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Superkidd,Sundance,0,0,12399,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Shin YongJae,Lean On,23521,1563163,1659667,0.0,9.75,0.25,0.00,9.99,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Block B Bastarz,Make It Rain,0,0,1615970,0.1,0.00,0.24,0.01,0.25,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,MONSTA X,Fighter,0,0,1313976,0.4,0.00,0.20,0.05,0.25,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,HIGHTEEN,BOOM BOOM CLAP,0,0,319478,0.0,0.00,0.05,0.00,0.05,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,GIRLS GIRLS,JUICY SECRET,0,0,184064,0.0,0.00,0.03,0.00,0.03,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,BTOB,I'll Be Your Man,27393,1344061,4792585,9.4,9.80,0.71,1.23,11.74,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,SE7EN,GIVE IT TO ME,0,0,326969,0.0,0.00,0.05,0.00,0.05,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,MAMAMOO,Decalcomanie,88600,3632341,4664636,6.1,29.37,0.69,0.80,30.86,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,ASTRO,Confession,0,0,1603292,0.8,0.00,0.24,0.10,0.34,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,T-ara,TIAMO,0,0,4554206,3.5,0.00,0.68,0.46,1.13,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Lim JeongHee,I.O.U,0,0,24615,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Big Brain,Sick,0,0,72220,0.0,0.00,0.01,0.00,0.01,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,MOMOLAND,JJan! Koong! Kwang!,0,0,489437,0.0,0.00,0.07,0.00,0.07,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Lee YeJoon,Be mine,0,0,0,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,MATILDA,You Bad! Don't Make Me Cry,0,0,1328905,0.0,0.00,0.20,0.00,0.20,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Berrygood,Don't Believe,0,0,676589,0.0,0.00,0.10,0.00,0.10,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Wax,You are You are You are,0,0,141560,0.0,0.00,0.02,0.00,0.02,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,EXO-CBX,Hey Mama!,21422,1529755,23552024,47.8,9.22,3.51,6.23,18.96,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Kim Juna,Summer Dream,0,0,309389,0.0,0.00,0.05,0.00,0.05,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,VICTON,I'm Fine,0,0,868910,0.1,0.00,0.13,0.01,0.14,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Anda,Like Family,0,0,161887,0.0,0.00,0.02,0.00,0.02,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,A.DE,Good Time,0,0,133049,0.0,0.00,0.02,0.00,0.02,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,SORAN,I want to be the only one to know,0,0,36876,0.0,0.00,0.01,0.00,0.01,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,VIXX,The Closer,0,0,1982942,1.9,0.00,0.30,0.25,0.54,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,BullDok,Why not,0,0,27070,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
MCOUNTDOWN,2016-11-11,2016-11-14,Seol Hayoon,Please Arrest My Oppa!,0,0,0,0.0,0.00,0.00,0.00,0.00,2016-12-10 15:48:16 +0800,2016-12-10 15:48:16 +0800
